🇭🇰香港,#genre#
安徽衛視,http://112.15.230.43/PLTV/88888888/224/3221230331/index.m3u8
安徽衛視,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
遼寧衛視,http://117.148.179.152/PLTV/88888888/224/3221231802/index.m3u8
江西衛視,http://117.148.179.141/PLTV/88888888/224/3221231964/index.m3u8
江西衛視,http://117.148.179.37/PLTV/88888888/224/3221228840/index.m3u8
江西衛視,http://117.148.179.157/PLTV/88888888/224/3221231511/index.m3u8
四川衛視,http://117.148.179.142/PLTV/88888888/224/3221231885/index.m3u8
四川衛視,http://117.148.179.176/PLTV/88888888/224/3221231517/index.m3u8
河北衛視,http://117.148.179.179/PLTV/88888888/224/3221231411/index.m3u8
貴州衛視,http://117.148.179.160/PLTV/88888888/224/3221231676/index.m3u8
南方衛視,http://117.148.179.160/PLTV/88888888/224/3221231661/index.m3u8
山西衛視,http://117.148.179.169/PLTV/88888888/224/3221231444/index.m3u8
東南衛視,http://117.148.179.160/PLTV/88888888/224/3221231414/index.m3u8
青海衛視,http://117.148.179.151/PLTV/88888888/224/3221231435/index.m3u8
雲南衛視,http://117.148.179.141/PLTV/88888888/224/3221231499/index.m3u8
河南衛視,http://117.148.179.144/PLTV/88888888/224/3221231514/index.m3u8
陝西衛視,http://117.148.179.156/PLTV/88888888/224/3221231408/index.m3u8
吉林衛視,http://117.148.179.164/PLTV/88888888/224/3221231472/index.m3u8
廣西衛視,http://117.148.179.164/PLTV/88888888/224/3221231600/index.m3u8
西藏衛視,http://117.148.179.162/PLTV/88888888/224/3221231558/index.m3u8
內蒙古衛視,http://117.148.179.151/PLTV/88888888/224/3221231478/index.m3u8
寧夏衛視,http://117.148.179.132/PLTV/88888888/224/3221229080/index.m3u8
寧夏衛視,http://117.148.179.160/PLTV/88888888/224/3221231441/index.m3u8
甘肅衛視,http://117.148.179.144/PLTV/88888888/224/3221229077/index.m3u8
甘肅衛視,http://117.148.179.158/PLTV/88888888/224/3221231393/index.m3u8
重慶衛視,http://117.148.179.155/PLTV/88888888/224/3221231508/index.m3u8
新疆衛視,http://117.148.179.183/PLTV/88888888/224/3221231451/index.m3u8
海南衛視,http://117.148.179.155/PLTV/88888888/224/3221227912/index.m3u8
兵團衛視,http://117.148.179.162/PLTV/88888888/224/3221231469/index.m3u8
廈門衛視,http://117.148.179.134/PLTV/88888888/224/3221229184/index.m3u8

▪後備,#genre#

翡翠台 (中英字幕),https://cdn.hklive.tv/hls/81b/index.m3u8
明珠台 (粵語聲道),https://cdn.hklive.tv/hls/84b/index.m3u8
ViuTV Six （第二聲度）,https://cdn.hklive.tv/hls/96b/index.m3u8

澳視澳門-B,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
澳視葡文-B,http://103.233.191.133:1935/ch2/ch2.live/playlist.m3u8
澳視衛星-B,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
澳視體育-B,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8
澳視資訊-B,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
澳視綜藝+B,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8

RTHK31-B,http://livetv.dnsfor.me:80/channel.1.m3u8
RTHK32-B,http://livetv.dnsfor.me:80/channel.2.m3u8
無綫新聞台-B,http://livetv.dnsfor.me:80/channel.10.m3u8
無綫財經資訊台-B,http://livetv.dnsfor.me:80/channel.11.m3u8
